#,Domain,Count,Percentage,IAB Content Taxonomy,Tier 1,Tier 2,Tier 3
1,shopify.com,136069478,0.05859603,/Computers & Electronics/Enterprise Technology,Computers & Electronics,Enterprise Technology,
54,wanelo.com,5378155,0.0023160121,,,,
55,zcache.co.uk,5113312,0.0022019619,,,,
56,imgix.net,4820321,0.0020757902,/Arts & Entertainment,Arts & Entertainment,,
57,cloudinary.com,4772135,0.0020550397,/Arts & Entertainment/Online Media,Arts & Entertainment,Online Media,
58,nocookie.net,4703205,0.0020253563,/Online Communities,Online Communities,,
59,istockphoto.com,4588385,0.001975911,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
60,shopstyle-cdn.com,4529196,0.0019504222,/Computers & Electronics,Computers & Electronics,,
61,deviantart.net,4507693,0.0019411623,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
62,zoocdn.com,4477696,0.0019282445,,,,
63,rackcdn.com,4358144,0.0018767615,,,,
64,cowcow.com,4279169,0.0018427522,/Shopping/Apparel,Shopping,Apparel,
65,scribdassets.com,4166119,0.0017940691,/Books & Literature/E-Books,Books & Literature,E-Books,
66,wikimedia.org,4056386,0.0017468144,/People & Society/Social Issues & Advocacy,People & Society,Social Issues & Advocacy,
67,dhresource.com,3961837,0.0017060986,,,,
68,ostkcdn.com,3939990,0.0016966905,/Shopping,Shopping,,
69,pond5.com,3926283,0.0016907877,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
70,akamaihd.net,3726457,0.0016047361,/Pets & Animals/Pets,Pets & Animals,Pets,
71,ztat.net,3632843,0.0015644227,,,,
72,volusion.com,3554927,0.0015308695,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
73,whicdn.com,3553978,0.0015304609,,,,
74,windows.net,3545003,0.001526596,/Computers & Electronics/Software,Computers & Electronics,Software,
75,abebooks.com,3497410,0.0015061009,/Books & Literature,Books & Literature,,
76,google.com,3477559,0.0014975524,/Internet & Telecom,Internet & Telecom,,
77,shoplightspeed.com,3476872,0.0014972565,/Sports/Individual Sports/Cycling,Sports,Individual Sports,Cycling
78,slidesharecdn.com,3475418,0.0014966303,,,,
79,zcache.ca,3271799,0.0014089453,,,,
80,gannett-cdn.com,3263075,0.0014051883,/Business & Industrial/Construction & Maintenance/Building Materials & Supplies,Business & Industrial,Construction & Maintenance,Building Materials & Supplies
81,alamy.com,3247853,0.0013986334,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
82,youtube.com,3244286,0.0013970973,/Arts & Entertainment/TV & Video/Online Video,Arts & Entertainment,TV & Video,Online Video
83,gr-assets.com,3199696,0.0013778953,,,,
84,zcache.com.au,3152851,0.0013577223,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
85,wfrcdn.com,3148837,0.0013559937,,,,
86,oodleimg.com,2998674,0.0012913285,,,,
87,ggpht.com,2991377,0.0012881862,,,,
88,staticflickr.com,2870839,0.0012362786,,,,
89,flickr.com,2797962,0.0012048953,/Online Communities,Online Communities,,
90,bosscdn.com,2724907,0.0011734354,/Business & Industrial,Business & Industrial,,
91,freepik.com,2707206,0.0011658127,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
92,ecrater.com,2580056,0.0011110577,/Shopping,Shopping,,
93,frgimages.com,2444121,0.0010525197,,,,
94,myrealpage.com,2430929,0.0010468387,/Real Estate/Real Estate Services,Real Estate,Real Estate Services,
95,secureservercdn.net,2414543,0.0010397823,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
96,footballfanatics.com,2405336,0.0010358176,/Sports/Sporting Goods,Sports,Sporting Goods,
97,mzstatic.com,2379665,0.0010247628,/Computers & Electronics/Consumer Electronics,Computers & Electronics,Consumer Electronics,
98,evbuc.com,2373667,0.0010221799,/Arts & Entertainment/Events & Listings,Arts & Entertainment,Events & Listings,
99,webshopapp.com,2372307,0.0010215942,/Shopping,Shopping,,
100,akamaized.net,2347079,0.0010107302,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
101,walmartimages.com,2329747,0.0010032664,,,,
102,rhapsody.com,2222753,0.0009571912,/Arts & Entertainment/Music & Audio/Music Streams & Downloads,Arts & Entertainment,Music & Audio,Music Streams & Downloads
103,1stdibscdn.com,2167287,0.0009333057,,,,
104,lystit.com,2150069,0.0009258911,/Shopping/Apparel/Women's Clothing,Shopping,Apparel,Women's Clothing
105,carsforsale.com,2119608,0.0009127735,/Autos & Vehicles/Vehicle Shopping/Used Vehicles,Autos & Vehicles,Vehicle Shopping,Used Vehicles
106,wixmp.com,2070864,0.0008917827,,,,
107,spreadshirtmedia.com,2025264,0.0008721459,,,,
108,msecnd.net,1982250,0.0008536226,/Shopping/Apparel/Clothing Accessories,Shopping,Apparel,Clothing Accessories
109,hdnux.com,1946476,0.00083821714,,,,
110,karousell.com,1911490,0.000823151,,,,
111,spreadshirtmedia.net,1856401,0.0007994279,,,,
112,artprintimages.com,1839080,0.0007919689,,,,
113,allpostersimages.com,1762663,0.0007590612,,,,
114,muscache.com,1749712,0.0007534841,,,,
115,wfcdn.com,1715045,0.0007385553,,,,
116,popsugar-assets.com,1699217,0.00073173925,,,,
117,hipcast.com,1691971,0.0007286189,/Arts & Entertainment/Music & Audio/Radio,Arts & Entertainment,Music & Audio,Radio
118,offerup.com,1623189,0.000698999,/Shopping,Shopping,,
119,bstatic.com,1609763,0.0006932174,/Travel/Hotels & Accommodations,Travel,Hotels & Accommodations,
120,tradesy.com,1603619,0.0006905716,/Shopping/Apparel/Clothing Accessories,Shopping,Apparel,Clothing Accessories
121,eyeem.com,1576942,0.00067908354,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
122,fruugo.com,1560594,0.00067204356,/Shopping,Shopping,,
123,threadless.com,1557781,0.00067083225,/Shopping/Apparel/Casual Apparel,Shopping,Apparel,Casual Apparel
124,nuji.com,1548720,0.0006669302,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,Beauty & Fitness,Fashion & Style,Fashion Designers & Collections
125,liveauctioneers.com,1514435,0.0006521659,/Shopping/Auctions,Shopping,Auctions,
126,nbxc.com,1491841,0.0006424363,/Business & Industrial/Business Services,Business & Industrial,Business Services,
127,motorsport.com,1459713,0.0006286009,/Sports/Motor Sports,Sports,Motor Sports,
128,rubylane.com,1453225,0.0006258069,/Shopping/Antiques & Collectibles,Shopping,Antiques & Collectibles,
129,bonanzastatic.com,1422110,0.00061240774,,,,
130,images-bn.com,1415095,0.0006093869,,,,
131,nordstrommedia.com,1397366,0.00060175218,,,,
132,rightinthebox.com,1375023,0.00059213053,,,,
133,twimg.com,1318421,0.00056775585,/Pets & Animals/Pets/Dogs,Pets & Animals,Pets,Dogs
134,motor1.com,1292575,0.00055662572,/Autos & Vehicles/Motor Vehicles (By Type),Autos & Vehicles,Motor Vehicles (By Type),
135,envato.com,1280884,0.00055159114,/Business & Industrial,Business & Industrial,,
136,tistatic.com,1267386,0.0005457785,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
137,imimg.com,1263025,0.00054390047,,,,
138,china.cn,1260577,0.0005428463,/Business & Industrial,Business & Industrial,,
139,wnlimg.com,1256568,0.0005411199,,,,
140,hzcdn.com,1180282,0.0005082686,/Arts & Entertainment/Visual Art & Design/Design,Arts & Entertainment,Visual Art & Design,Design
141,iclipart.com,1167014,0.000502555,/Online Communities/Online Goodies/Clip Art & Animated GIFs,Online Communities,Online Goodies,Clip Art & Animated GIFs
142,homedepot-static.com,1146445,0.0004936973,,,,
143,booklikes.com,1143467,0.00049241487,/Books & Literature,Books & Literature,,
144,netdna-cdn.com,1142071,0.0004918137,/People & Society/Social Issues & Advocacy,People & Society,Social Issues & Advocacy,
145,dmmserver.com,1136244,0.00048930436,,,,
146,fanpop.com,1122272,0.00048328757,/Arts & Entertainment,Arts & Entertainment,,
147,heritagestatic.com,1109804,0.00047791846,,,,
148,4sqi.net,1097031,0.00047241796,,,,
149,tmdb.org,1076213,0.00046345305,/Arts & Entertainment/Movies,Arts & Entertainment,Movies,
150,imagesbn.com,1059627,0.00045631055,,,,
151,macysassets.com,1048827,0.0004516597,,,,
152,wwu.edu,1048150,0.0004513682,/Jobs & Education/Education/Colleges & Universities,Jobs & Education,Education,Colleges & Universities
153,quotesgram.com,1037429,0.00044675138,/Books & Literature,Books & Literature,,
154,feedbooks.net,1031743,0.0004443028,,,,
155,kohlsimg.com,1005674,0.00043307662,,,,
156,weyesimg.com,1001422,0.00043124553,/Business & Industrial/Business Services,Business & Industrial,Business Services,
157,bigcartel.com,992938,0.00042759206,/Shopping/Apparel,Shopping,Apparel,
158,autorevo.com,983075,0.0004233447,/Autos & Vehicles/Vehicle Shopping,Autos & Vehicles,Vehicle Shopping,
159,apnarm.net.au,978988,0.00042158473,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
160,staples-3p.com,968158,0.00041692097,,,,
161,homeaway.com,964976,0.0004155507,/Travel/Hotels & Accommodations/Vacation Rentals & Short-Term Stays,Travel,Hotels & Accommodations,Vacation Rentals & Short-Term Stays
162,mlstatic.com,960371,0.00041356765,,,,
163,thcdn.com,951403,0.0004097057,/Arts & Entertainment,Arts & Entertainment,,
164,doitbest.com,947710,0.0004081154,/Business & Industrial/Construction & Maintenance/Building Materials & Supplies,Business & Industrial,Construction & Maintenance,Building Materials & Supplies
165,stockfresh.com,943711,0.0004063933,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
166,christianbook.com,932963,0.00040176485,/People & Society/Religion & Belief,People & Society,Religion & Belief,
167,onsugar.com,924488,0.0003981152,,,,
168,rightmove.co.uk,909311,0.0003915795,/Real Estate/Real Estate Listings,Real Estate,Real Estate Listings,
169,neimanmarcus.com,908362,0.00039117083,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,Beauty & Fitness,Fashion & Style,Fashion Designers & Collections
170,syndetics.com,906385,0.0003903195,/Reference/Libraries & Museums,Reference,Libraries & Museums,
171,letgo.com,901231,0.0003881,/Shopping,Shopping,,
172,bbci.co.uk,894876,0.0003853633,/News,News,,
173,shopmania.org,889978,0.00038325407,,,,
174,artfire.com,878179,0.00037817303,/Hobbies & Leisure/Crafts,Hobbies & Leisure,Crafts,
175,thpservices.com,876303,0.00037736516,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
176,fishpond.co.nz,875898,0.0003771908,/Shopping,Shopping,,
177,yumpu.com,871769,0.00037541267,/Books & Literature,Books & Literature,,
178,rediff.com,867188,0.00037343994,/News,News,,
179,b-cdn.net,865654,0.00037277937,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
180,present5.com,862991,0.00037163258,/Computers & Electronics/Computer Security,Computers & Electronics,Computer Security,
181,sw-cdn.net,854608,0.00036802255,,,,
182,realgeeks.media,853154,0.00036739644,,,,
183,userapi.com,852244,0.00036700454,/Online Communities/Social Networks,Online Communities,Social Networks,
184,iconfinder.com,851643,0.00036674574,/Online Communities/Online Goodies/Clip Art & Animated GIFs,Online Communities,Online Goodies,Clip Art & Animated GIFs
185,edgesuite.net,848977,0.00036559768,/Home & Garden,Home & Garden,,
186,sparkplatform.com,847449,0.0003649397,/Real Estate,Real Estate,,
187,rglcdn.com,834440,0.0003593376,,,,
188,bbystatic.com,831652,0.00035813697,,,,
189,popscreencdn.com,831406,0.00035803102,,,,
190,wattpad.com,829566,0.00035723865,/Books & Literature/E-Books,Books & Literature,E-Books,
191,webfronts.com,822574,0.0003542277,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
192,staticbg.com,818070,0.0003522881,,,,
193,zillowpress.com,810167,0.0003488848,,,,
194,cnn.com,805747,0.0003469814,/News,News,,
195,pastemagazine.com,805369,0.0003468186,/Books & Literature,Books & Literature,,
196,society6.com,801348,0.00034508705,/Home & Garden/Home & Interior Decor,Home & Garden,Home & Interior Decor,
197,slatic.net,800772,0.00034483902,,,,
198,adis.ws,800438,0.0003446952,,,,
199,grouponcdn.com,794687,0.0003422186,/Shopping/Consumer Resources/Coupons & Discount Offers,Shopping,Consumer Resources,Coupons & Discount Offers
200,booksense.com,785030,0.00033805996,/Books & Literature,Books & Literature,,
201,marketleader.com,777730,0.00033491634,/Business & Industrial/Business Services,Business & Industrial,Business Services,
202,houzz.com,773066,0.0003329079,/Home & Garden/Home & Interior Decor,Home & Garden,Home & Interior Decor,
203,dealer.com,765889,0.00032981724,/Business & Industrial/Business Services,Business & Industrial,Business Services,
204,delcampe-static.net,764144,0.00032906577,,,,
205,meredithcorp.io,761937,0.00032811537,/Games/Computer & Video Games,Games,Computer & Video Games,
206,fkimg.com,758443,0.00032661073,/Travel/Hotels & Accommodations/Vacation Rentals & Short-Term Stays,Travel,Hotels & Accommodations,Vacation Rentals & Short-Term Stays
207,farfetch-contents.com,748307,0.0003222458,,,,
208,shopittome.com,729360,0.0003140866,/Shopping/Apparel,Shopping,Apparel,
209,chzbgr.com,728131,0.00031355735,,,,
210,archive.org,727543,0.00031330418,/Business & Industrial,Business & Industrial,,
211,creativemarket.com,726213,0.0003127314,/Computers & Electronics/Software/Multimedia Software,Computers & Electronics,Software,Multimedia Software
212,thestar.com,715117,0.00030795313,/News,News,,
213,guim.co.uk,714907,0.00030786268,/Arts & Entertainment,Arts & Entertainment,,
214,scoop.it,713474,0.00030724559,/Business & Industrial,Business & Industrial,,
215,kxcdn.com,709146,0.0003053818,/Computers & Electronics,Computers & Electronics,,
216,nyt.com,709014,0.00030532496,/News,News,,
217,foxnews.com,707627,0.00030472767,/News,News,,
218,jijistatic.com,705542,0.00030382982,,,,
219,stackpathcdn.com,704684,0.00030346032,/Health/Medical Facilities & Services/Hospitals & Treatment Centers,Health,Medical Facilities & Services,Hospitals & Treatment Centers
220,vecteezy.com,704258,0.00030327687,/Online Communities/Online Goodies/Clip Art & Animated GIFs,Online Communities,Online Goodies,Clip Art & Animated GIFs
221,onthemarket.com,699509,0.0003012318,/Real Estate/Real Estate Listings/Residential Sales,Real Estate,Real Estate Listings,Residential Sales
222,fandango.com,697480,0.00030035805,/Arts & Entertainment/Movies,Arts & Entertainment,Movies,
223,wimages.net,695775,0.00029962381,,,,
224,me.me,695310,0.00029942356,/Arts & Entertainment/Humor/Funny Pictures & Videos,Arts & Entertainment,Humor,Funny Pictures & Videos
225,classiccars.com,693540,0.00029866135,/Autos & Vehicles/Classic Vehicles,Autos & Vehicles,Classic Vehicles,
226,edgecastcdn.net,691985,0.0002979917,,,,
227,furnituredealer.net,690122,0.00029718943,/Home & Garden/Home Furnishings,Home & Garden,Home Furnishings,
228,clipartof.com,687912,0.00029623773,/Online Communities/Online Goodies/Clip Art & Animated GIFs,Online Communities,Online Goodies,Clip Art & Animated GIFs
229,behance.net,687747,0.00029616669,/Hobbies & Leisure,Hobbies & Leisure,,
230,speakerdeck.com,681930,0.0002936617,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
231,masterfile.com,680202,0.00029291756,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
232,dealsanimg.com,679529,0.00029262776,/Shopping/Consumer Resources,Shopping,Consumer Resources,
233,comics.org,679011,0.00029240467,/Arts & Entertainment/Comics & Animation/Comics,Arts & Entertainment,Comics & Animation,Comics
234,drlcdn.com,677664,0.0002918246,,,,
235,adlibris.com,676352,0.0002912596,/Books & Literature,Books & Literature,,
236,crestock.com,676280,0.00029122861,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
237,s-bol.com,672002,0.00028938636,,,,
238,waterstones.com,671562,0.00028919687,/Books & Literature,Books & Literature,,
239,brightspotcdn.com,670591,0.00028877875,,,,
240,ymcart.com,665826,0.00028672678,/Shopping/Apparel/Undergarments,Shopping,Apparel,Undergarments
241,typepad.com,653785,0.00028154152,/Online Communities/Blogging Resources & Services,Online Communities,Blogging Resources & Services,
242,contactmusic.com,651905,0.00028073194,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
243,mixcloud.com,647156,0.00027868684,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
244,digitaloceanspaces.com,646559,0.00027842976,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
245,clipground.com,645961,0.00027817225,/Online Communities/Online Goodies/Clip Art & Animated GIFs,Online Communities,Online Goodies,Clip Art & Animated GIFs
246,cheatsheet.com,644487,0.0002775375,/News,News,,
247,europa.eu,641002,0.00027603673,/Law & Government/Government,Law & Government,Government,
248,valorebooks.com,638940,0.00027514879,/Jobs & Education/Education,Jobs & Education,Education,
249,saxo.com,631465,0.00027192978,/Sports/Individual Sports/Cycling,Sports,Individual Sports,Cycling
250,icanvas.com,631096,0.0002717709,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
251,turbosquid.com,629634,0.0002711413,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
252,influenster.com,628115,0.00027048716,/Shopping/Consumer Resources,Shopping,Consumer Resources,
253,reastatic.net,625188,0.0002692267,,,,
254,picdn.net,624240,0.00026881846,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
255,alibris-static.com,623673,0.0002685743,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
256,carpages.ca,622029,0.00026786633,/Autos & Vehicles/Vehicle Shopping/Used Vehicles,Autos & Vehicles,Vehicle Shopping,Used Vehicles
257,od-cdn.com,618123,0.00026618427,,,,
258,spintoband.com,616095,0.00026531095,/Business & Industrial,Business & Industrial,,
259,express.co.uk,615231,0.00026493888,/News,News,,
260,memegenerator.net,614692,0.0002647068,/Arts & Entertainment/Humor/Funny Pictures & Videos,Arts & Entertainment,Humor,Funny Pictures & Videos
261,townnews.com,613190,0.00026405996,/Business & Industrial,Business & Industrial,,
262,getdrawings.com,610527,0.00026291318,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
263,rhap.com,606598,0.00026122123,,,,
264,cdn-ds.com,605645,0.00026081083,,,,
265,wikihow.com,605348,0.00026068294,/Reference/General Reference,Reference,General Reference,
266,broadwayworld.com,602372,0.00025940137,/Arts & Entertainment/Performing Arts,Arts & Entertainment,Performing Arts,
267,indigoimages.ca,599932,0.00025835063,,,,
268,optimole.com,597571,0.0002573339,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
269,jimcdn.com,597537,0.00025731927,,,,
270,dribbble.com,592052,0.00025495723,/Arts & Entertainment/Visual Art & Design/Design,Arts & Entertainment,Visual Art & Design,Design
271,kinja-img.com,588757,0.0002535383,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
272,imgur.com,587408,0.00025295736,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
273,washtimes.com,581575,0.00025044551,/News/Politics,News,Politics,
274,openlibrary.org,579176,0.00024941241,/Books & Literature,Books & Literature,,
275,ulximg.com,578098,0.0002489482,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop,Arts & Entertainment,Music & Audio,Urban & Hip-Hop
276,independent.ie,575787,0.000247953,/News,News,,
277,dealercarsearch.com,573118,0.00024680363,/Autos & Vehicles/Vehicle Shopping,Autos & Vehicles,Vehicle Shopping,
278,dmcdn.net,570424,0.00024564352,/Computers & Electronics/Software/Operating Systems,Computers & Electronics,Software,Operating Systems
279,vox-cdn.com,566547,0.00024397396,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
280,thesun.co.uk,565908,0.00024369877,/News,News,,
281,edealer.ca,563156,0.00024251366,/Business & Industrial/Business Services,Business & Industrial,Business Services,
282,yoox.biz,558679,0.00024058573,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,Beauty & Fitness,Fashion & Style,Fashion Designers & Collections
283,tumblr.com,553387,0.0002383068,/Online Communities/Blogging Resources & Services,Online Communities,Blogging Resources & Services,
284,ekm.net,552377,0.00023787186,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
285,flixster.com,552266,0.00023782408,/Arts & Entertainment/Movies,Arts & Entertainment,Movies,
286,winudf.com,551036,0.00023729438,,,,
287,bleacherreport.net,550761,0.00023717597,/News/Sports News,News,Sports News,
288,idlehearts.com,550261,0.00023696065,/Books & Literature,Books & Literature,,
289,slideplayer.fr,549595,0.00023667384,/Health,Health,,
290,liveauctiongroup.net,547865,0.00023592886,,,,
291,voanews.com,546808,0.00023547368,/News,News,,
292,listhub.net,542240,0.00023350654,/Real Estate/Real Estate Services,Real Estate,Real Estate Services,
293,dxcdn.com,540561,0.00023278352,,,,
294,abc.net.au,539438,0.0002322999,/Arts & Entertainment,Arts & Entertainment,,
295,smushcdn.com,538670,0.00023196919,,,,
296,deanscards.com,537558,0.0002314903,/Sports/Sporting Goods/Sports Memorabilia,Sports,Sporting Goods,Sports Memorabilia
297,boomerangbooks.com.au,535749,0.0002307113,/Books & Literature,Books & Literature,,
298,shortpixel.ai,533265,0.0002296416,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,Arts & Entertainment,Visual Art & Design,Photographic & Digital Arts
299,clickdealer.co.uk,531557,0.00022890609,/Autos & Vehicles/Vehicle Shopping,Autos & Vehicles,Vehicle Shopping,
300,sndcdn.com,527340,0.0002270901,/Arts & Entertainment/Music & Audio/Dance & Electronic Music,Arts & Entertainment,Music & Audio,Dance & Electronic Music
301,cargurus.com,524424,0.00022583438,/Autos & Vehicles/Vehicle Shopping/Used Vehicles,Autos & Vehicles,Vehicle Shopping,Used Vehicles
302,housingcdn.com,524423,0.00022583395,,,,
303,invaluable.com,524147,0.0002257151,/Shopping/Auctions,Shopping,Auctions,
304,telegraph.co.uk,521797,0.0002247031,/News,News,,
305,trvl-media.com,520976,0.00022434955,,,,
306,newegg.com,517962,0.00022305163,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
307,wsimg.com,517675,0.00022292804,/Sports/Team Sports/Rugby,Sports,Team Sports,Rugby
308,stockfood.com,516357,0.00022236047,/Business & Industrial/Business Services,Business & Industrial,Business Services,
309,geograph.org.uk,513150,0.00022097941,/Reference/Language Resources,Reference,Language Resources,
310,americanlisted.com,513013,0.00022092042,/Shopping/Classifieds,Shopping,Classifieds,
311,autofunds.com,512536,0.00022071501,/Autos & Vehicles/Vehicle Shopping,Autos & Vehicles,Vehicle Shopping,
312,postmedia.digital,512268,0.0002205996,,,,
313,claz.org,509501,0.00021940805,/Shopping/Classifieds,Shopping,Classifieds,
314,aolcdn.com,508509,0.00021898085,,,,
315,fdncms.com,508493,0.00021897396,/News,News,,
316,envatousercontent.com,502666,0.00021646466,,,,
317,zooverresources.com,500407,0.00021549186,,,,
