#,Domain,Count,Percentage,IAB Content Taxonomy,Tier 1,Tier 2,Tier 3
95,k-img.com,2063862,0.0009107137,,,,
96,ikhedmah.com,2053464,0.0009061254,/Business & Industrial,Business & Industrial,,
97,olxcdn.com,2052319,0.00090562016,,,,
98,mzstatic.com,2011446,0.00088758424,/Computers & Electronics/Consumer Electronics,Computers & Electronics,Consumer Electronics,
99,depositphotos.com,1990864,0.00087850206,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
100,homes.jp,1980037,0.0008737245,/Business & Industrial,Business & Industrial,,
101,olx.com.br,1977331,0.0008725304,/Shopping/Classifieds,Shopping,Classifieds,
102,spreadshirtmedia.net,1965951,0.0008675088,,,,
103,kfzimg.com,1962972,0.0008661943,,,,
104,ztat.net,1944406,0.0008580018,,,,
105,netdna-ssl.com,1917315,0.0008460473,/Health/Health Conditions/Infectious Diseases,Health,Health Conditions,Infectious Diseases
106,fastly.net,1859865,0.0008206966,/Computers & Electronics/Computer Security,Computers & Electronics,Computer Security,
107,motor1.com,1825731,0.0008056344,/Autos & Vehicles/Motor Vehicles (By Type),Autos & Vehicles,Motor Vehicles (By Type),
108,karousell.com,1818047,0.0008022437,,,,
109,yumpu.com,1813565,0.000800266,/Books & Literature,Books & Literature,,
110,bigstockphoto.com,1802616,0.0007954345,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
111,awsli.com.br,1798072,0.0007934294,,,,
112,shopstyle-cdn.com,1779264,0.0007851301,/Computers & Electronics,Computers & Electronics,,
113,shoplightspeed.com,1768012,0.0007801649,/Sports/Individual Sports/Cycling,Sports,Individual Sports,Cycling
114,ggpht.com,1762602,0.00077777766,,,,
115,shoprenter.hu,1750721,0.000772535,/Internet & Telecom/Web Services/Domain Parking,Internet & Telecom,Web Services,Domain Parking
116,youla.io,1747732,0.0007712161,/Arts & Entertainment,Arts & Entertainment,,
117,canalblog.com,1736578,0.00076629415,/Online Communities,Online Communities,,
118,sputniknews.com,1733576,0.00076496944,/News,News,,
119,photozou.jp,1712842,0.0007558203,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
120,fril.jp,1695034,0.00074796215,/Computers & Electronics,Computers & Electronics,,
121,slideplayer.nl,1687516,0.0007446447,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
122,sinaimg.cn,1673357,0.0007383969,/Online Communities,Online Communities,,
123,persgroep.net,1666895,0.0007355454,/Arts & Entertainment,Arts & Entertainment,,
124,bosscdn.com,1608815,0.0007099166,/Business & Industrial,Business & Industrial,,
125,goo-net.com,1605358,0.00070839114,/Autos & Vehicles/Vehicle Shopping/Used Vehicles,Autos & Vehicles,Vehicle Shopping,Used Vehicles
126,wixmp.com,1598504,0.00070536666,,,,
127,bigslide.ru,1585760,0.0006997432,/Jobs & Education/Education/Teaching & Classroom Resources,Jobs & Education,Education,Teaching & Classroom Resources
128,slideplayer.hu,1538926,0.0006790769,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
129,shutterstock.com,1480925,0.000653483,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
130,ddimg.cn,1475502,0.00065109,,,,
131,servimg.com,1467273,0.0006474588,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
132,homify.com,1449172,0.0006394715,/Home & Garden/Home & Interior Decor,Home & Garden,Home & Interior Decor,
133,google.com,1438454,0.0006347419,/Internet & Telecom,Internet & Telecom,,
134,blogimg.jp,1438225,0.0006346408,,,,
135,slideplayer.biz.tr,1423270,0.0006280418,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
136,rightinthebox.com,1419701,0.0006264669,,,,
137,ykimg.com,1411798,0.00062297955,,,,
138,rightmove.co.uk,1409570,0.0006219964,/Real Estate/Real Estate Listings,Real Estate,Real Estate Listings,
139,secureservercdn.net,1393799,0.00061503716,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
140,yandex.net,1374533,0.0006065357,/Computers & Electronics/Software,Computers & Electronics,Software,
141,alamy.com,1373898,0.0006062555,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
142,ozone.ru,1370102,0.00060458045,,,,
143,glbimg.com,1361541,0.0006008028,,,,
144,zooverresources.com,1338731,0.0005907375,,,,
145,abebooks.com,1273241,0.0005618389,/Books & Literature,Books & Literature,,
146,vectorstock.com,1267622,0.00055935945,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
147,blogs.es,1266482,0.00055885643,/Online Communities,Online Communities,,
148,slideplayer.info,1264950,0.0005581804,/Online Communities,Online Communities,,
149,shopify.com,1252269,0.0005525847,/Computers & Electronics/Enterprise Technology,Computers & Electronics,Enterprise Technology,
150,vteximg.com.br,1248957,0.00055112325,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
151,akamaihd.net,1229500,0.0005425375,/Pets & Animals/Pets,Pets & Animals,Pets,
152,satu.kz,1225272,0.0005406718,/Shopping/Apparel,Shopping,Apparel,
153,brandear.jp,1224496,0.00054032937,/Shopping/Apparel,Shopping,Apparel,
154,detik.net.id,1216695,0.00053688705,/Arts & Entertainment,Arts & Entertainment,,
155,ostrovok.ru,1215492,0.00053635623,/Arts & Entertainment/Online Media,Arts & Entertainment,Online Media,
156,plentymarkets.com,1212953,0.00053523585,/Computers & Electronics/Enterprise Technology,Computers & Electronics,Enterprise Technology,
157,sparkplatform.com,1210214,0.00053402722,/Real Estate,Real Estate,,
158,stockfresh.com,1202066,0.00053043175,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
159,fruugo.com,1197909,0.00052859746,/Shopping,Shopping,,
160,lnwfile.com,1189291,0.00052479457,,,,
161,shop-pro.jp,1170678,0.00051658127,/Business & Industrial,Business & Industrial,,
162,teacherspayteachers.com,1159239,0.00051153366,/Jobs & Education/Education/Teaching & Classroom Resources,Jobs & Education,Education,Teaching & Classroom Resources
163,propartner.ru,1156011,0.00051010925,/Business & Industrial,Business & Industrial,,
164,slideplayer.com,1149940,0.0005074303,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
165,buchzentrum.ch,1140289,0.00050317165,,,,
166,travelatacdn.ru,1098978,0.00048494246,,,,
167,hipcast.com,1096382,0.00048379693,/Arts & Entertainment/Music & Audio/Radio,Arts & Entertainment,Music & Audio,Radio
168,istockphoto.com,1092553,0.00048210733,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
169,di-static.com,1092381,0.00048203144,,,,
170,love.ru,1071247,0.0004727057,/Arts & Entertainment,Arts & Entertainment,,
171,shopserve.jp,1069073,0.00047174636,/Business & Industrial,Business & Industrial,,
172,mt.ru,1068885,0.00047166344,/News,News,,
173,shopmania.org,1068000,0.00047127288,,,,
174,gettyimages.com,1065729,0.00047027078,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
175,china.cn,1048524,0.0004626788,/Business & Industrial,Business & Industrial,,
176,feebee.com.tw,1043843,0.00046061322,/Arts & Entertainment,Arts & Entertainment,,
177,letgo.com,1034562,0.00045651782,/Shopping,Shopping,,
178,line-scdn.net,1033873,0.00045621376,/Arts & Entertainment,Arts & Entertainment,,
179,exblog.jp,1014278,0.00044756718,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
180,taobaocdn.com,1009186,0.00044532023,,,,
181,kelkoo.com,975150,0.00043030128,/Shopping,Shopping,,
182,skyrock.net,973005,0.00042935476,/Online Communities/Social Networks,Online Communities,Social Networks,
183,bdstatic.com,970385,0.00042819865,/Internet & Telecom,Internet & Telecom,,
184,immonot.com,958444,0.0004229295,/Real Estate,Real Estate,,
185,lookbuck.com,954918,0.0004213736,/Beauty & Fitness,Beauty & Fitness,,
186,allosurf.net,948673,0.00041861787,/News/Weather,News,Weather,
187,mycdn.me,941092,0.0004152726,/Arts & Entertainment,Arts & Entertainment,,
188,riastatic.com,938753,0.0004142405,,,,
189,rndtech.de,937426,0.00041365493,,,,
190,stackpathcdn.com,925610,0.0004084409,/Health/Medical Facilities & Services/Hospitals & Treatment Centers,Health,Medical Facilities & Services,Hospitals & Treatment Centers
191,blogmura.com,924953,0.000408151,/Arts & Entertainment,Arts & Entertainment,,
192,highwebmedia.com,923312,0.00040742688,/Adult,Adult,,
193,all.biz,914236,0.00040342197,/Food & Drink/Restaurants,Food & Drink,Restaurants,
194,dmcdn.net,908268,0.0004007885,/Computers & Electronics/Software/Operating Systems,Computers & Electronics,Software,Operating Systems
195,ill.in.ua,905115,0.00039939716,,,,
196,sarenza.net,904606,0.00039917257,,,,
197,myonlinestore.eu,902092,0.0003980632,/People & Society,People & Society,,
198,metrolatam.com,901814,0.00039794054,/Health,Health,,
199,homefinder.com,898648,0.0003965435,/Real Estate/Real Estate Listings/Residential Sales,Real Estate,Real Estate Listings,Residential Sales
200,vnecdn.net,892133,0.00039366864,,,,
201,mncdn.com,891897,0.00039356448,,,,
202,aliimg.com,887936,0.00039181665,/Computers & Electronics,Computers & Electronics,,
203,voanews.com,887106,0.00039145038,/News,News,,
204,bukalapak.com,884553,0.00039032385,/Shopping/Apparel,Shopping,Apparel,
205,twimg.com,881043,0.000388775,/Pets & Animals/Pets/Dogs,Pets & Animals,Pets,Dogs
206,imageflux.jp,878332,0.0003875787,,,,
207,meta.ua,877726,0.0003873113,/Arts & Entertainment,Arts & Entertainment,,
208,digitaloceanspaces.com,875337,0.00038625713,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
209,fotokto.ru,871305,0.00038447794,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
210,ekladata.com,866468,0.00038234353,/Online Communities,Online Communities,,
211,lystit.com,862409,0.00038055245,/Shopping/Apparel/Women's Clothing,Shopping,Apparel,Women's Clothing
212,seesaa.net,858601,0.0003788721,/News,News,,
213,b-cdn.net,854645,0.0003771264,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
214,winudf.com,853744,0.00037672885,,,,
215,fishki.net,853486,0.000376615,/Arts & Entertainment,Arts & Entertainment,,
216,zcache.co.uk,853028,0.0003764129,,,,
217,mtdata.ru,850498,0.00037529647,,,,
218,francetvinfo.fr,842682,0.00037184756,/News,News,,
219,svitppt.com.ua,831040,0.0003667103,/Autos & Vehicles,Autos & Vehicles,,
220,dantri.com.vn,822965,0.00036314707,/Sports,Sports,,
221,360buyimg.com,817398,0.00036069054,/Shopping,Shopping,,
222,aliyuncs.com,810394,0.00035759993,,,,
223,slideplayer.gr,810135,0.00035748564,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
224,redcart.pl,807871,0.00035648663,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
225,nbxc.com,795838,0.00035117686,/Business & Industrial/Business Services,Business & Industrial,Business Services,
226,hepsiburada.net,794187,0.00035044834,,,,
227,wpimg.pl,793776,0.00035026696,,,,
228,slatic.net,786503,0.0003470576,,,,
229,img-asp.jp,785109,0.0003464425,,,,
230,zcache.com.br,770962,0.0003401999,,,,
231,gr-assets.com,770608,0.00034004368,,,,
232,photocase.de,762829,0.0003366111,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
233,4sqi.net,761888,0.00033619583,,,,
234,shop.UNKNOWN-SUFFIX,759475,0.00033513106,,,,
235,bbci.co.uk,751135,0.0003314509,/News,News,,
236,ohmyprints.net,743564,0.0003281101,,,,
237,vietnamplus.vn,733736,0.0003237733,/News,News,,
238,kxcdn.com,733395,0.00032362282,/Computers & Electronics,Computers & Electronics,,
239,s-bol.com,733079,0.0003234834,,,,
240,notino.com,733044,0.00032346796,/Beauty & Fitness/Face & Body Care/Perfumes & Fragrances,Beauty & Fitness,Face & Body Care,Perfumes & Fragrances
241,zcache.ca,732648,0.0003232932,,,,
242,behance.net,723155,0.00031910427,/Hobbies & Leisure,Hobbies & Leisure,,
243,tokkobroker.com,722066,0.00031862374,/Real Estate/Real Estate Services,Real Estate,Real Estate Services,
244,mfcdn.de,718149,0.0003168953,/Shopping/Apparel,Shopping,Apparel,
245,bbend.net,716752,0.00031627882,,,,
246,mediadecathlon.com,715604,0.00031577226,/Shopping,Shopping,,
247,seloger.com,714187,0.00031514697,/Real Estate/Real Estate Listings,Real Estate,Real Estate Listings,
248,iplsc.com,713752,0.000314955,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
249,afy.ru,710699,0.00031360783,/Real Estate/Real Estate Listings,Real Estate,Real Estate Listings,
250,rferl.org,701929,0.00030973792,/News,News,,
251,uvnimg.com,699351,0.00030860035,,,,
252,wanelo.com,698357,0.00030816171,,,,
253,euronews.com,697168,0.00030763706,/News,News,,
254,t-online.de,688716,0.00030390747,/News,News,,
255,c-ctrip.com,688500,0.00030381216,/Travel/Air Travel,Travel,Air Travel,
256,welt.de,683048,0.00030140636,/News,News,,
257,goo.ne.jp,683018,0.00030139312,/Games,Games,,
258,spreadshirtmedia.com,681519,0.00030073168,,,,
259,slideplayer.se,679811,0.00029997798,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
260,artprintimages.com,673648,0.00029725846,,,,
261,hotelsclick.com,673211,0.00029706566,/Travel/Hotels & Accommodations,Travel,Hotels & Accommodations,
262,pmdstatic.net,670059,0.00029567478,,,,
263,lmcdn.ru,666348,0.00029403722,,,,
264,ppt4web.ru,664052,0.00029302409,/Arts & Entertainment,Arts & Entertainment,,
265,fotocommunity.com,663058,0.00029258545,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
266,zcache.com.au,659769,0.00029113412,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
267,r10s.com,659387,0.00029096557,,,,
268,mypads.ru,659349,0.0002909488,/Internet & Telecom/Mobile & Wireless/Mobile & Wireless Accessories,Internet & Telecom,Mobile & Wireless,Mobile & Wireless Accessories
269,kenh14cdn.com,657938,0.00029032616,,,,
270,evbuc.com,657147,0.00028997712,/Arts & Entertainment/Events & Listings,Arts & Entertainment,Events & Listings,
271,antaranews.com,654719,0.00028890572,/Arts & Entertainment/Music & Audio,Arts & Entertainment,Music & Audio,
272,autorevo.com,654275,0.0002887098,/Autos & Vehicles/Vehicle Shopping,Autos & Vehicles,Vehicle Shopping,
273,slideplayer.no,652970,0.00028813394,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
274,infoideias.net,649530,0.00028661601,/Real Estate/Real Estate Services,Real Estate,Real Estate Services,
275,realhit.cz,648954,0.00028636182,/Real Estate/Real Estate Listings,Real Estate,Real Estate Listings,
276,shafastatic.net,644114,0.00028422609,,,,
277,tradesy.com,643920,0.0002841405,/Shopping/Apparel/Clothing Accessories,Shopping,Apparel,Clothing Accessories
278,tmdb.org,642220,0.00028339034,/Arts & Entertainment/Movies,Arts & Entertainment,Movies,
279,ria.ru,635795,0.00028055519,/Arts & Entertainment,Arts & Entertainment,,
280,stat01.com,635570,0.00028045591,,,,
281,huffingtonpost.com,635047,0.00028022513,/News,News,,
282,postila.ru,634943,0.00028017923,/Hobbies & Leisure/Crafts,Hobbies & Leisure,Crafts,
283,valuegaia.com.br,634519,0.00027999215,/Real Estate/Real Estate Listings,Real Estate,Real Estate Listings,
284,matrimonio.com,632651,0.00027916787,/Hobbies & Leisure/Special Occasions/Weddings,Hobbies & Leisure,Special Occasions,Weddings
285,liecdn.cn,623066,0.00027493833,,,,
286,conrad.com,621025,0.00027403768,/Business & Industrial/Industrial Materials & Equipment,Business & Industrial,Industrial Materials & Equipment,
287,irna.ir,618730,0.00027302498,/News,News,,
288,cdnmpro.com,618479,0.0002729142,,,,
289,drom.ru,615186,0.00027146112,/Autos & Vehicles/Vehicle Shopping,Autos & Vehicles,Vehicle Shopping,
290,tokopedia.net,614804,0.00027129257,,,,
291,rt.com,613947,0.0002709144,/News,News,,
292,orgpage.ru,611816,0.00026997406,,,,
293,sohacdn.com,610954,0.0002695937,,,,
294,wildberries.ru,610463,0.00026937703,/Shopping/Apparel,Shopping,Apparel,
295,udn.com.tw,602948,0.0002660609,/News,News,,
296,diytrade.com,592913,0.00026163278,/Business & Industrial,Business & Industrial,,
297,wallapop.com,592902,0.00026162796,/Shopping/Classifieds,Shopping,Classifieds,
298,zcache.fr,591272,0.00026090868,,,,
299,d2cmedia.ca,588265,0.00025958179,/Business & Industrial/Business Services,Business & Industrial,Business Services,
300,hzcdn.com,584868,0.00025808282,/Arts & Entertainment/Visual Art & Design/Design,Arts & Entertainment,Visual Art & Design,Design
301,bookcdn.com,583537,0.00025749547,,,,
302,offers.gallery,580992,0.00025637247,,,,
303,24h.com.vn,580019,0.0002559431,/News/Sports News,News,Sports News,
304,sndcdn.com,579381,0.00025566159,/Arts & Entertainment/Music & Audio/Dance & Electronic Music,Arts & Entertainment,Music & Audio,Dance & Electronic Music
305,vgcloud.vn,577007,0.00025461402,,,,
306,thanhnien.vn,575973,0.00025415773,/Arts & Entertainment,Arts & Entertainment,,
307,gnst.jp,573022,0.00025285557,/Food & Drink/Restaurants,Food & Drink,Restaurants,
308,farpost.ru,572773,0.0002527457,/Law & Government,Law & Government,,
309,biggo.com.tw,568603,0.0002509056,/Shopping/Consumer Resources/Product Reviews & Price Comparisons,Shopping,Consumer Resources,Product Reviews & Price Comparisons
310,farfetch-contents.com,568208,0.0002507313,,,,
311,cdnvideo.ru,567460,0.00025040124,/Arts & Entertainment/Online Media,Arts & Entertainment,Online Media,
312,leaddelivery.net,565145,0.00024937969,,,,
313,europapress.es,554767,0.00024480022,/News,News,,
314,livemaster.ru,552937,0.00024399271,/Home & Garden,Home & Garden,,
315,24tv.ua,551453,0.00024333788,/Arts & Entertainment/Online Media,Arts & Entertainment,Online Media,
316,chem17.com,548337,0.0002419629,,,,
317,rhapsody.com,547864,0.00024175417,/Arts & Entertainment/Music & Audio/Music Streams & Downloads,Arts & Entertainment,Music & Audio,Music Streams & Downloads
318,elcomercio.pe,545415,0.00024067352,/News,News,,
319,youboy.com,543612,0.0002398779,/Business & Industrial,Business & Industrial,,
320,zcache.es,542815,0.00023952622,,,,
321,shortpixel.ai,541646,0.00023901038,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,Arts & Entertainment,Visual Art & Design,Photographic & Digital Arts
322,uol.com.br,541510,0.00023895036,/People & Society/Religion & Belief,People & Society,Religion & Belief,
323,pbase.com,540443,0.00023847954,/Online Communities,Online Communities,,
324,ngs.ru,539246,0.00023795133,/Shopping,Shopping,,
325,yatego.com,537996,0.00023739975,/Shopping,Shopping,,
326,cnki.net,537972,0.00023738917,/Jobs & Education/Education,Jobs & Education,Education,
327,lavanguardia.com,536424,0.00023670608,/Sports,Sports,,
328,findagrave.com,535675,0.00023637557,/Sensitive Subjects,Sensitive Subjects,,
329,livejournal.com,535598,0.0002363416,/Online Communities/Blogging Resources & Services,Online Communities,Blogging Resources & Services,
330,liveauctioneers.com,535193,0.00023616288,/Shopping/Auctions,Shopping,Auctions,
331,yle.fi,534359,0.00023579488,/Autos & Vehicles,Autos & Vehicles,,
332,openpublishing.com,534316,0.0002357759,/Business & Industrial/Printing & Publishing,Business & Industrial,Printing & Publishing,
333,4travel.jp,533305,0.00023532977,/Travel,Travel,,
334,mybestbrands.de,531588,0.00023457212,/Shopping/Apparel,Shopping,Apparel,
